Ticker,Description,Last,Change %,Volume,Volatility,Average Directional Index (14),Weekly Performance,Rating,Exchange
COCOSBNB,Cocos-BCX / Binance Coin,0.002028,55.16449885,4167874,77.62520194,36.98729746,60.44303797,Strong Buy,BINANCE
DUSKUSD,Dusk Network / US Dollar (calculated by TradingView),0.33838685,24.11240372,12382345.72802884,48.27220227,58.84880513,11.04424972,Strong Buy,BINANCE
DUSKBTC,Dusk Network / Bitcoin,0.00000582,22.01257862,12359220,40.08438819,57.15994123,22.26890756,Strong Buy,BINANCE
ENJEUR,Enjin Coin / Euro,3.234,20.80687337,1337176.637,25.94142259,42.54807606,19.55637708,Strong Buy,BINANCE
ENJUSD,Enjin Coin / US Dollar (calculated by TradingView),3.66059718,20.21779054,10247392.76937004,29.98745464,47.55141856,18.78665556,Strong Buy,BINANCE
ENJBUSD,Enjin Coin / BUSD,3.652,19.93431856,11573321.79,25.58764271,42.10579593,18.4944841,Strong Buy,BINANCE
STORJUSD,Storj / US Dollar (calculated by TradingView),2.04983798,18.50686166,4895956.14669749,40.71991813,42.8716349,26.29354827,Strong Buy,BINANCE
STORJUSDT,Storj / TetherUS,2.0494,18.46242775,45393893,32.70492781,37.65406835,26.32681995,Strong Buy,BINANCE
EGLDUSDTPERP,EGLD / TetherUS PERPETUAL FUTURES,365.24,18.34235168,900422,23.54050834,14.54932498,11.97155032,Strong Buy,BINANCE
STORJBUSD,Storj / BUSD,2.0436,18.33236827,2033255,32.36904762,45.86042187,26.47604902,Strong Buy,BINANCE
EGLDPERP,EGLD Perpetual Futures Contract,365.502,18.29653916,9602941,22.23547368,14.78050343,12.19702365,Strong Buy,BINANCE
ENJBTC,Enjin Coin / Bitcoin,0.00006291,17.69878391,10223829.1,22.80935183,43.07076377,30.95337219,Strong Buy,BINANCE
RAREBUSD,RARE / BUSD,1.904,16.16839536,9828983.8,40.39408867,12.61413258,28.21548822,Strong Buy,BINANCE
RAREUSDT,RARE / TetherUS,1.901,16.1270617,28108971.30000017,40.22140221,12.52863172,28.01346801,Strong Buy,BINANCE
