Symbol,Current Price,Timeframe,granularity,% of ATH,TV 1h Recommendation,TV 1d Recommendation
ICP-USD,27.4,2021-05-10 - 2021-12-12,86400,4%,SELL,SELL
BTRST-USD,4.56,2021-09-15 - 2021-12-12,86400,9%,SELL,SELL
FORTH-USD,10.47,2021-04-21 - 2021-12-12,86400,11%,SELL,SELL
RLC-USD,2.98,2021-05-06 - 2021-12-12,86400,15%,SELL,SELL
SKL-USD,0.2131,2021-03-11 - 2021-12-12,86400,15%,SELL,SELL
FIL-USD,39.43,2020-12-09 - 2021-12-12,86400,17%,SELL,SELL
TRAC-USD,1.0819,2021-11-02 - 2021-12-12,86400,17%,SELL,SELL
BADGER-USD,15.45,2021-10-14 - 2021-12-12,86400,18%,SELL,SELL
SNX-USD,5.61,2020-12-15 - 2021-12-12,86400,19%,SELL,SELL
BAL-USD,14.96,2020-10-06 - 2021-12-12,86400,20%,SELL,SELL
COMP-USD,194.63,2020-06-23 - 2021-12-12,86400,21%,SELL,SELL
ETC-USD,37.51,2019-01-01 - 2021-12-12,86400,21%,SELL,SELL
OGN-USD,0.666,2021-04-09 - 2021-12-12,86400,21%,SELL,SELL
TRB-USD,35.59,2021-05-06 - 2021-12-12,86400,21%,SELL,SELL
BICO-USD,5.35,2021-12-01 - 2021-12-12,86400,22%,BUY,BUY
MIR-USD,2.494,2021-05-06 - 2021-12-12,86400,22%,SELL,SELL
UMA-USD,10.02,2020-09-08 - 2021-12-12,86400,22%,SELL,SELL
YFI-USD,"21,168.52",2020-09-15 - 2021-12-12,86400,22%,SELL,SELL
BAND-USD,5.27,2020-08-11 - 2021-12-12,86400,23%,SELL,SELL
EOS-USD,3.41,2019-04-09 - 2021-12-12,86400,23%,SELL,SELL
GRT-USD,0.6746,2020-12-17 - 2021-12-12,86400,23%,SELL,SELL
QUICK-USD,252.86,2021-08-12 - 2021-12-12,86400,23%,SELL,SELL
SUSHI-USD,5.52,2021-03-11 - 2021-12-12,86400,24%,SELL,SELL
NKN-USD,0.3843,2021-04-09 - 2021-12-12,86400,25%,SELL,SELL
RGT-USD,21.05,2021-09-09 - 2021-12-12,86400,25%,SELL,SELL
ACH-USD,0.063852,2021-08-03 - 2021-12-12,86400,26%,SELL,SELL
CLV-USD,0.74,2021-07-15 - 2021-12-12,86400,26%,SELL,SELL
LCX-USD,0.1752,2021-11-02 - 2021-12-12,86400,26%,SELL,SELL
AAVE-USD,178.55,2020-12-15 - 2021-12-12,86400,27%,SELL,SELL
BCH-USD,451.11,2019-01-01 - 2021-12-12,86400,27%,SELL,SELL
FARM-USD,94.73,2021-07-29 - 2021-12-12,86400,27%,SELL,SELL
1INCH-USD,2.51,2021-04-09 - 2021-12-12,86400,28%,SELL,SELL
JASMY-USD,0.09741,2021-10-07 - 2021-12-12,86400,28%,SELL,SELL
DASH-USD,136.91,2019-09-17 - 2021-12-12,86400,29%,SELL,SELL
PLA-USD,1.4427,2021-08-04 - 2021-12-12,86400,29%,SELL,SELL
KRL-USD,1.483,2021-11-02 - 2021-12-12,86400,30%,NEUTRAL,NEUTRAL
